Model	Transcription factor
E2F7_HUMAN.H11MO.0.B	HUMAN:E2F7
E2F8_HUMAN.H11MO.0.D	HUMAN:E2F8
E4F1_HUMAN.H11MO.0.D	HUMAN:E4F1
EGR1_HUMAN.H11MO.0.A	HUMAN:EGR1
EGR2_HUMAN.H11MO.0.A	HUMAN:EGR2
EGR2_HUMAN.H11MO.1.A	HUMAN:EGR2
EGR3_HUMAN.H11MO.0.D	HUMAN:EGR3
EGR4_HUMAN.H11MO.0.D	HUMAN:EGR4
EHF_HUMAN.H11MO.0.B	HUMAN:EHF
ELF1_HUMAN.H11MO.0.A	HUMAN:ELF1
ELF2_HUMAN.H11MO.0.C	HUMAN:ELF2
ELF3_HUMAN.H11MO.0.A	HUMAN:ELF3
ELF5_HUMAN.H11MO.0.A	HUMAN:ELF5
ELK1_HUMAN.H11MO.0.B	HUMAN:ELK1
ELK3_HUMAN.H11MO.0.D	HUMAN:ELK3
ELK4_HUMAN.H11MO.0.A	HUMAN:ELK4
EMX1_HUMAN.H11MO.0.D	HUMAN:EMX1
EMX2_HUMAN.H11MO.0.D	HUMAN:EMX2
EOMES_HUMAN.H11MO.0.D	HUMAN:EOMES
EPAS1_HUMAN.H11MO.0.B	HUMAN:EPAS1
ERG_HUMAN.H11MO.0.A	HUMAN:ERG
ERR1_HUMAN.H11MO.0.A	HUMAN:ESRRA
ERR2_HUMAN.H11MO.0.A	HUMAN:ESRRB
ERR3_HUMAN.H11MO.0.B	HUMAN:ESRRG
ESR1_HUMAN.H11MO.0.A	HUMAN:ESR1
ESR1_HUMAN.H11MO.1.A	HUMAN:ESR1
ESR2_HUMAN.H11MO.0.A	HUMAN:ESR2
ESR2_HUMAN.H11MO.1.A	HUMAN:ESR2
ESX1_HUMAN.H11MO.0.D	HUMAN:ESX1
ETS1_HUMAN.H11MO.0.A	HUMAN:ETS1
ETS2_HUMAN.H11MO.0.B	HUMAN:ETS2
ETV1_HUMAN.H11MO.0.A	HUMAN:ETV1
ETV2_HUMAN.H11MO.0.B	HUMAN:ETV2
ETV3_HUMAN.H11MO.0.D	HUMAN:ETV3
ETV4_HUMAN.H11MO.0.B	HUMAN:ETV4
ETV5_HUMAN.H11MO.0.C	HUMAN:ETV5
ETV6_HUMAN.H11MO.0.D	HUMAN:ETV6
ETV7_HUMAN.H11MO.0.D	HUMAN:ETV7
EVI1_HUMAN.H11MO.0.B	HUMAN:MECOM
FEV_HUMAN.H11MO.0.B	HUMAN:FEV
FEZF1_HUMAN.H11MO.0.C	HUMAN:FEZF1
FIGLA_HUMAN.H11MO.0.D	HUMAN:FIGLA
FLI1_HUMAN.H11MO.0.A	HUMAN:FLI1
FLI1_HUMAN.H11MO.1.A	HUMAN:FLI1
FOSB_HUMAN.H11MO.0.A	HUMAN:FOSB
FOSL1_HUMAN.H11MO.0.A	HUMAN:FOSL1
FOSL2_HUMAN.H11MO.0.A	HUMAN:FOSL2
FOS_HUMAN.H11MO.0.A	HUMAN:FOS
FOXA1_HUMAN.H11MO.0.A	HUMAN:FOXA1
FOXA2_HUMAN.H11MO.0.A	HUMAN:FOXA2
FOXA3_HUMAN.H11MO.0.B	HUMAN:FOXA3
FOXB1_HUMAN.H11MO.0.D	HUMAN:FOXB1
FOXC1_HUMAN.H11MO.0.C	HUMAN:FOXC1
FOXC2_HUMAN.H11MO.0.D	HUMAN:FOXC2
FOXD1_HUMAN.H11MO.0.D	HUMAN:FOXD1
FOXD2_HUMAN.H11MO.0.D	HUMAN:FOXD2
FOXD3_HUMAN.H11MO.0.D	HUMAN:FOXD3
FOXF1_HUMAN.H11MO.0.D	HUMAN:FOXF1
FOXF2_HUMAN.H11MO.0.D	HUMAN:FOXF2
